Depth,Year,Alkalinity,SRP,NH4,NO3,TN,TP,Chla
0.0,2008,560,4.9,31.1,,,27.44,34.54
1.0,2008,600,0.5,23.5,,,28.14,21.26
2.0,2008,500,4.9,11.5,,,29.96,55.86
3.0,2008,490,9.2,25.4,,,49,165.22
4.0,2008,1340,1.9,312.5,,,8.4,82.11
5.0,2008,1340,1.9,722.3,,,0,90.7
6.0,2008,1290,3.4,4543.3,,,0,54.72
7.0,2008,1560,1.9,4509,,,0,54.4
0.0,2009,600,11,31,3.2,573.7,,22.24
1.0,2009,520,46,36.3,6.2,505.4,,17.58
2.0,2009,400,86,96,22.7,580.3,,28.6
3.0,2009,600,51,112.6,8.9,658.14,,140.29
4.0,2009,1120,86,731.4,7.6,1700.2,,140.39
5.0,2009,1280,56,1523.1,8.9,2129.4,,39.41
6.0,2009,1120,46,2326.8,7.9,1918.6,,23.47
7.0,2009,1180,52.7,3136,5.6,4871.3,,26.11
0.0,2010,410,2.1,21.9,5.64,,,37.86
1.0,2010,320,1.4,12.3,15.56,,,36.75
2.0,2010,440,3.1,42,32.37,,,60.87
3.0,2010,880,1.4,18.6,8.77,,,46.59
4.0,2010,920,2.8,381.5,3.18,,,264.16
5.0,2010,920,1.7,954.6,17.78,,,83.66
6.0,2010,1080,1.4,2731.9,7.11,,,95.41
7.0,2010,,,,,,,
0.0,2011,,4.7,14,8,,,48.88
0.0,2011,,4.9,18,7,,,40.32
1.0,2011,,4.7,8,0,,,53.31
1.0,2011,,4.9,21,6,,,42
2.0,2011,,3.3,8,0,,,52.15
2.0,2011,,3.5,22,44,,,37.98
3.0,2011,,5.1,160,5,,,71.59
3.0,2011,,5.3,408,26,,,52.52
4.0,2011,,4.7,674,7,,,292.81
4.0,2011,,4.9,678,23,,,156.84
5.0,2011,,4.5,504,22,,,156.55
5.0,2011,,4.7,1140,5,,,49.76
6.0,2011,,3.1,1038,18,,,79
6.0,2011,,3.3,1936,20,,,52.09
7.0,2011,,8.6,3177,20,,,66.28
7.0,2011,,8.8,3159,46,,,43.56
0.0,2012,80,9,2.9,3.72,,,
0.0,2012,400,,,5.44,,,34.75
1.0,2012,40,11.3,4.6,8.16,,,
1.0,2012,400,11.5,,2.27,,,38.06
2.0,2012,40,6.6,6.7,4.62,,,
2.0,2012,280,3.9,,4.24,,,58.78
3.0,2012,40,7.2,15.3,2.66,,,
3.0,2012,160,3.8,,2.82,,,66.45
4.0,2012,120,6.1,254.2657,4.59,,,
4.0,2012,200,2.2,,2.56,,,132.57
5.0,2012,80,4.9,196.7702,4.07,,,
5.0,2012,280,1.3,,6.07,,,206.47
6.0,2012,40,6.3,358.927,5.36,,,
6.0,2012,80,1.6,,7.66,,,42.01
7.0,2012,40,9.6,5780,7.56,,,
7.0,2012,80,2,,2.61,,,155.11
0.0,2013,800,6.8,112,8.94,,34.41,10.15
