Depth,Year,Temp,DO,SpCond,pH
0.0,2008,,,,
0.5,2008,28,7.49,38,9.27
1.0,2008,27.7,7.72,38,8.82
1.5,2008,27.6,7.62,38,8.66
2.0,2008,27,6.15,37,8.16
2.5,2008,26.9,4.26,37,7.74
3.0,2008,26.4,1.59,37,7.23
3.5,2008,24.8,1.05,58,6.98
4.0,2008,22.3,0.97,84,6.84
4.5,2008,19.4,0.99,110,6.86
5.0,2008,17.5,1.02,121,6.95
5.5,2008,15.7,1.07,134,7.03
6.0,2008,14.5,1.11,145,7.13
6.5,2008,13.5,1.17,154,7.18
7.0,2008,12.8,1.18,169,7.22
7.5,2008,,,,
8.0,2008,,,,
0.0,2009,26.6,9.8,35,9.89
0.5,2009,26.5,9.82,35,10.06
1.0,2009,26.4,9.82,35,10.16
1.5,2009,26,9.82,35,10.23
2.0,2009,25.7,9.27,35,10.19
2.5,2009,24.9,4.51,35,9.89
3.0,2009,23.7,2.67,51.5,9.35
3.5,2009,21.1,1.78,96.5,8.75
4.0,2009,18.8,1.75,122.5,8.51
4.5,2009,16.8,1.76,120.5,8.45
5.0,2009,15,1.76,115,8.4
5.5,2009,13.9,1.8,121,8.32
6.0,2009,13.2,1.94,126,8.26
6.5,2009,12.5,1.9,128.5,8.19
7.0,2009,12,1.88,137,8.12
7.5,2009,,,,
8.0,2009,,,,
0.0,2010,28,12.33,35,7.77
0.5,2010,,,,
1.0,2010,26.8,13.07,35,7.98
1.5,2010,,,,
2.0,2010,26.2,10.78,34,7.5
2.5,2010,,,,
3.0,2010,25.6,3.33,36,6.46
3.5,2010,,,,
4.0,2010,20.9,3.01,98,6.43
4.5,2010,,,,
5.0,2010,15.8,2.49,113,6.81
5.5,2010,,,,
6.0,2010,13.2,2.5,113,6.92
6.5,2010,,,,
7.0,2010,11.4,2.02,151,7.02
7.5,2010,,,,
8.0,2010,,,,
0.0,2011,31.8,7.85,36.5,8.98
0.5,2011,31.3,8.28,36.5,9.04
1.0,2011,29.7,8.7,36,9.08
1.5,2011,29.3,8.43,35.5,9.07
2.0,2011,29.1,7.92,35,9.09
2.5,2011,28.3,2.64,34,8.17
3.0,2011,26,1.62,49,7.53
3.5,2011,23.4,1.5,58,7.21
4.0,2011,19.7,1.53,99,7.26
4.5,2011,17.1,1.53,99.5,7.32
5.0,2011,15.2,1.52,101,7.36
5.5,2011,13.8,1.54,110,7.34
6.0,2011,12.6,1.5,116.5,7.43
6.5,2011,12,1.52,123,7.48
7.0,2011,11.2,1.55,137,7.54
7.5,2011,,,,
8.0,2011,,,,
0.0,2011,31.7,8.18,35.5,8.98
0.5,2011,30.4,8.86,35,9.04
1.0,2011,29.1,8.93,35,9.08
1.5,2011,28.8,8.38,34.5,9.07
2.0,2011,28.7,7.64,34,9.09
2.5,2011,28.3,4.58,34,8.17
3.0,2011,26.1,2.21,49.5,7.53
3.5,2011,23.3,2.14,64.5,7.21
4.0,2011,19.9,2.12,99.5,7.26
4.5,2011,17.6,2.19,101,7.32
5.0,2011,15.4,2.28,105,7.36
5.5,2011,13.9,2.33,109.5,7.34
6.0,2011,12.8,2.42,118.5,7.43
6.5,2011,12.1,2.42,125,7.48
7.0,2011,11.2,2.49,140.5,7.54
7.5,2011,,,,
8.0,2011,,,,
0.0,2012,29.6,7.49,58.6,8.65
0.5,2012,,,,
1.0,2012,28.6,7.84,57.7,8.86
1.5,2012,,,,
2.0,2012,28.2,6.72,56.2,8.25
2.5,2012,,,,
3.0,2012,27.9,5.01,56.2,7.61
3.5,2012,26.3,0.2,72.9,6.72
4.0,2012,23.7,0.07,105,6.67
4.5,2012,,,,
5.0,2012,18.3,0.05,114.5,6.88
5.5,2012,,,,
6.0,2012,15.1,0.05,145.9,7.03
6.5,2012,,,,
7.0,2012,13.3,0.05,157.7,7.15
7.5,2012,,,,
8.0,2012,,,,
